record_id	record_type	source_city	canonical_city	activity_location	canonical_activity_location	conditional_markers	activity_text
activity-0025	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi		Rovaniemi: Snowmobiling and Sledding Arctic Circle Highlights - Time: 08:45 am - 03:45 pm - Meeting point: Arctic Circle Snowmobile Park Rovaniemi - Includes: Pick-up/drop-off in central Rovaniemi, Knowledgeable, English-speaking guide, 1h snowmobiling on shared snowmobile (2 pers), Reindeer experience with 500m sleigh ride, Alaskan Husky experience with 500m sleigh ride, Approx. 2 hours free time in Santa Claus Village, Winter clothes (overalls, boots and gloves), Other equipment (helmet and balaclava), Salmon soup lunch (vegetarian option available)
activity-0026	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi		Rovaniemi: Lapland Winter Park Ice karting ticket -Time: Flexible - Meeting point: Lapland Winter Park - Includes: Driving instructions, Helmet to protecct, Warm-ups and the race, 30 min driving time
activity-0027	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi		Rovaniemi: Arctic Dip and Sauna Experience - Time: Evening - Meeting point: Lapland Royal Adventures office - Includes: Access to ice swimming & saunas, Essential gear & refreshments, Entrance tickets
activity-0028	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi		Rovaniemi: Morning Visit to Arctic SnowHotel - Time: 11:00 am - 2:00 pm - Meeting point: pub Pisto - Includes: Return transfers, Entrance ticket, Guided tour at the Arctic SnowHotel, Access to the lakeside kick sledding, Access to tobogganing hill
activity-0029	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi		Rovaniemi: Arctic Wildlife Adventure to Ranua Park - Time: 10:00 am - 4:00 pm - Meeting point: Lapland Royal Adventures office - Includes: Pick-up/drop-off in central Rovaniemi, Tickets to Ranua Wildlife Park, Drinks and BBQ sausages by fire
activity-0030	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi		Rovaniemi: 3-Hour Snowmobile Safari through the Snowy Forest - Time: 10:00 am - 1:00 pm - Meeting point: Nordic Unique Travels Office - Includes: Pick-up/drop-off in central Rovaniemi, Knowledgeable, English-speaking guide, Snowmobile ride for approximately 1 hour, Overalls, boots, gloves, balaclava & helmet, Delicious and hot blueberry juice
activity-0031	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi		Rovaniemi: Korouoma Frozen Waterfalls Hike & BBQ - Time: 09:00 am - 4:00 pm - Meeting point: Arctic GM Office - Includes: Pick-up/drop-off in central Rovaniemi, Transfers in brand-new 2025 Ford Tourneo, Professional certified guide, Thermal overalls, 4–6 km guided hike in Korouoma Canyon, Small groups (max 8 guests), Hot drinks & barbecue
activity-0032	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi		Rovaniemi: 3-Course Dinner & Auroras at Arctic Snowhotel - Time: 7:00 pm - 12:00 am - Meeting point: pub Pisto - Includes: Return transfers from central Rovaniemi, Entrance ticket, Guided tour at the Arctic SnowHotel, Access to tobogganing hill, Access to the lakeside kick sledding, 3-course dinner by the fire in a warm log-built restaurant
activity-0033	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi		Rovaniemi: Arctic Snow Hotel Visiting package and Snow sauna experience - Time: 11:00 am - 6:30 pm - Meeting point: Pub Pisto - Includes: Return transfers, Entrance ticket, Guided tour at the Arctic SnowHotel, Private use of snow sauna, Finnish sauna and outdoor jacuzzi, Access to the lakeside kick sledding, Access to tobogganing hill, Alcohol-free sauna drink
activity-0034	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi		Rovaniemi: Arctic Dinner with Private Sauna & Jacuzzi - Time: 6:00 pm - 10:00 pm - Meeting point: Nordic Unique Travels Office - Includes: Pick-up/drop-off in central Rovaniemi, Knowledgeable, English-speaking guide, Private traditional sauna and jacuzzi, Ice lake swimming, slippers & towel, Campfire Salmon BBQ dinner
activity-0035	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi		Rovaniemi: Polar Ice Breaker Cruise - Time: 11:00 am - 7:35 pm - Meeting point: Rovaniemi Tourist Information - Includes: Lunch, transfers, 3-hour Icebreaker Cruise, Guided Icebreaker tour, Onboard Cinema, Frozen Sea Walk, Ice Swimming, Cruise and Swim Certificate
activity-0036	Activity	Kakslauttanen	Kakslauttanen	Kakslauttanen	Kakslauttanen		Kakslauttanen: Aurora Hunting with Reindeers - Time: To be determined - Meeting point: Resort Reception - Includes: Transfers, Thermal clothing, winter boots and gloves
activity-0037	Activity	Kakslauttanen	Kakslauttanen	Kakslauttanen	Kakslauttanen		Kakslauttanen: 2H Snowmobile Safari - Time: To be determined - Meeting point: Resort Reception - Includes: Thermal clothing, winter boots, gloves, balaclava, and helmet
activity-0038	Activity	Kakslauttanen	Kakslauttanen	Kakslauttanen	Kakslauttanen		Kakslauttanen: 4H Snowmobile Safari - Time: To be determined - Meeting point: Resort Reception - Includes: Thermal clothing, winter boots, gloves, balaclava, and helmet
activity-0039	Activity	Kakslauttanen	Kakslauttanen	Kakslauttanen	Kakslauttanen		Kakslauttanen: Aurora Hunting with Snowmobile - Time: To be determined - Meeting point: Resort Reception - Includes: Thermal clothing, winter boots, gloves, balaclava, and helmet
activity-0040	Activity	Kakslauttanen	Kakslauttanen	Kakslauttanen	Kakslauttanen		Kakslauttanen: 2H Husky Safari - Time: To be determined - Meeting point: Resort Reception - Includes: Transfers, thermal clothing, winter boots and gloves
activity-0041	Activity	Kakslauttanen	Kakslauttanen	Kakslauttanen	Kakslauttanen		Kakslauttanen: 4H Husky Safari - Time: To be determined - Meeting point: Resort Reception - Includes: Transfers, thermal clothing, winter boots and gloves
activity-0042	Activity	Kakslauttanen	Kakslauttanen	Kakslauttanen	Kakslauttanen		Kakslauttanen: Aurora Hunting with Huskies - Time: To be determined - Meeting point: Resort Reception - Includes: Transfers, thermal clothing, winter boots and gloves
activity-0043	Activity	Kakslauttanen	Kakslauttanen	Kakslauttanen	Kakslauttanen		Kakslauttanen: 2H Ice Karting - Time: To be determined - Meeting point: Resort Reception - Includes: Transfers, thermal clothing and the required equipment
activity-0044	Activity	Kakslauttanen	Kakslauttanen	Kakslauttanen	Kakslauttanen		Kakslauttanen: 2H Horseback Riding - Time: To be determined - Meeting point: Resort Reception - Includes: Thermal clothing, winter boots, gloves and helmet
activity-0045	Activity	Kakslauttanen	Kakslauttanen	Kakslauttanen	Kakslauttanen		Kakslauttanen: 2H Aurora Hunting by Car - Time: To be determined - Meeting point: Resort Reception - Includes: Northern lights hunt, expert guide
activity-0046	Activity	Kakslauttanen	Kakslauttanen	Kakslauttanen	Kakslauttanen		Kakslauttanen: Quad Bike Safari - Time: To be determined - Meeting point: Resort Reception - Includes: Transfer required equipment and refreshments - Note: quad bike has 1600€ self-liability in case of damage
activity-0047	Activity	Kakslauttanen	Kakslauttanen	Kakslauttanen	Kakslauttanen		Kakslauttanen: Midnight Sun Viewing with Quad Bike - Time: To be determined - Meeting point: Resort Reception - Includes: Transfer required equipment and refreshments - Note: quad bike has 1600€ self-liability in case of damage
activity-0048	Activity	Kakslauttanen	Kakslauttanen	Kakslauttanen	Kakslauttanen		Kakslauttanen: Aurora Hunting with Quad Bike - Time: To be determined - Meeting point: Resort Reception - Includes: Transfer required equipment and refreshments - Note: quad bike has 1600€ self-liability in case of damage
activity-0049	Activity	Kakslauttanen	Kakslauttanen	Kakslauttanen	Kakslauttanen		Kakslauttanen: Husky Hiking Trip at Kiilopää on the Border of Urho Kekkonen National Park - Time: To be determined - Meeting point: Resort Reception - Includes: Transfers, refreshments and required equipment
activity-0050	Activity	Kakslauttanen	Kakslauttanen	Kakslauttanen	Kakslauttanen		Kakslauttanen: Romantic Aurora Hunting with Horse Carriage for 2 persons - Time: To be determined - Meeting point: Resort Reception - Includes: Transfer, helmet, required equipment and refreshments, local sparkling wine
activity-0051	Activity	Kakslauttanen	Kakslauttanen	Kakslauttanen	Kakslauttanen		Kakslauttanen: Horseback Riding in Lappish Forest - Time: To be determined - Meeting point: Resort Reception - Includes: Transfer, helmet, required equipment and refreshments
activity-0052	Activity	Kemi	Kemi	Kemi	Kemi	weather permitting	Kemi: Morning Icebreaker Arktis - Time: 07:10 am - 2:35 pm - Meeting point: Hotel pick up - Includes: 3-hour icebreaker cruise, round-trip transfers from Kemi to the harbor, ice floating, walking on the frozen sea (weather permitting), and a certificate of participation. Onboard, you'll enjoy two cozy indoor decks and a modern café with Arctic views.
activity-0053	Activity	Kemi	Kemi	Kemi	Kemi	weather permitting	Kemi: Afternoon Icebreaker Arktis - Time: 10:55 am - 4:55 pm - Meeting point: Hotel pick up - Includes: 3-hour icebreaker cruise, round-trip transfers from Kemi to the harbor, ice floating, walking on the frozen sea (weather permitting), and a certificate of participation. Onboard, you'll enjoy two cozy indoor decks and a modern café with Arctic views.
activity-0054	Activity	Kemi	Kemi	Kemi	Kemi		Kemi: Snowcastle Area - Entrance fee package - Time: Flexible - Meeting point: Kemi Snowcastle - Includes: entrance fees to exhibitions in SnowCastle area such as Gemstone gallery and SnowExperience365
activity-0055	Activity	Saariselkä	Saariselkä	Saariselkä	Saariselkä		Saariselkä: Northern Lights Hunting Photo Tour by Bus - Time: 7:30 pm - 10:30 pm - Meeting point: Safartica Office, Lutontie 16, - Includes: Pick-up/drop off in central Saariselkä, Knowledgeable, English-speaking guide, Scenic Aurora hunt/drive up to 150km, Professional photos shared after the tour, Gingerbread cookies and hot drinks
activity-0056	Activity	Saariselkä	Saariselkä	Saariselkä	Saariselkä		Saariselkä: 2 Hours Snowmobile Safari in the Arctic Landscape - Time: 10:00 am - 12:00 pm - Meeting point: Safartica Office, Lutontie 16 - Includes: Pick-up/drop off in central Saariselkä, Professional, English-speaking guide, Snowmobile driving instructions, Safari for 2 persons per snowmobile, Winter clothing (overalls, boots & gloves), Driving time approx. 1.5 hours, Hot drinks with biscuits
activity-0057	Activity	Saariselkä	Saariselkä	Saariselkä	Saariselkä		Saariselkä: Traditional Reindeer Safari through Snowy Forest - Time: 10:50 am - 1:20 pm - Meeting point: Safartica Office, Lutontie 16 - Includes: Pick-up/drop off in central Saariselkä, Knowledgeable, English-speaking guide, Visit to a traditional reindeer farm, Reindeer sledding 45 min experience, Warm winter clothing, Hot drinks
activity-0058	Activity	Levi	Levi	Levi	Levi		Levi: Northern Lights Tour by Minivan - 8:30 pm - 10:30 pm - Meeting point: Arctic Circle Snowmobile Park Levi, Levintie 1585 - Includes: Pick-up/drop-off in central Levi, Professional, English-speaking guide, Winter clothes (overalls, boots and gloves), Delicious and warm juice
activity-0059	Activity	Levi	Levi	Levi	Levi		Levi: Snowmobiling Adventure - Time: 09:30 am - 10:30 am - Meeting point: Arctic Circle Snowmobile Park Levi, Levintie 1585 - Includes: Pick-up/drop-off in central Levi, Professional, English-speaking guide, 1-hour on shared snowmobile (2 pers), Winter clothes (overalls, boots and gloves), Safety equipment (helmet and balaclava)
activity-0060	Activity	Levi	Levi	Levi	Levi		Levi: Arctic Ice Floating - Time: 1:00 pm - 5:00 pm - Meeting point: Safartica Office, Hiihtäjänkuja 10 - Includes: Pick-up/drop-off in central Levi, Professional, English-speaking guide, Flotation suit and winter clothing, Delicious hot drinks
activity-0061	Activity	Levi	Levi	Levi	Levi		Levi: Ice Floating under the Northern Lights - Time: 7:30 pm - 11:30 pm - Meeting point: Safartica Office, Hiihtäjänkuja 10 - Includes: Pick-up/drop-off in Levi, English-speaking guide, Winter Clothing, Floating, Hot drinks
activity-0062	Activity	Levi	Levi	Levi	Levi		Levi: Snow Village Experience . Time: 2:00 pm - 6:00 pm - Meeting point: Arctic Circle Snowmobile Park Levi, Levintie 1585 - Includes: Pick-up/drop-off in central Levi, Professional, English-speaking guide, Entry tickets to the Snow Village, Winter clothes (overalls, boots and gloves), Delicious and warm soup lunch
activity-0063	Activity	Levi	Levi	Levi	Levi		Levi: Dinner at SnowVillage - Time: 6:00 pm - 10:00 pm - Meeting point: Lapland Safaris Levi, Leviraitti 26 - Includes: Pick-up/drop-off in central Levi, Professional guidance in English, A full thermal outfit, Entrance ticket to SnowVillage, 3-course dinner at the ice restaurant
activity-0064	Activity	Levi	Levi	Levi	Levi		Levi: Family Day with Huskies, Reindeer & Sledding - Time: 10:00 am - 2:00 pm - Meeting point: Arctic Circle Snowmobile Park Levi, Levintie 1585 - Includes: Pick-up/drop-off in central Levi, Professional, English-speaking guide, Warm overalls, boots and gloves, Visit to Husky Farm, with sleigh ride, Visit to Reindeer Farm, with sleigh ride, Mini Snowmobile drive for children, Traditional soup lunch and hot juice
activity-0065	Activity	Levi	Levi	Levi	Levi	weather permitting	Levi: Shamanic Evening VIP - Time: 6:00 pm - 10:00 pm - Meeting point: Visit Levi, Myllyjoentie 2 - Includes: Pick up at Visit Levi, Private experience with personal shaman host, Entry to the shaman village area, Shamanic water blessing ritual, Northern lights viewing (weather permitting), Cozy warm indoor space, Stargazing by the fire, Wine or water with meal, Traditional Lappish 3-course dinner
activity-0066	Activity	Levi	Levi	Levi	Levi		Levi: Private Traditional Sauna & Wilderness Dinner - Time: 6:00 pm - 11:00 pm - Meeting point: Hotel Pick Up - Includes: Pick-up/drop off from Levi, Professional, English-speaking guide, Opportunity to roll in the snow, Ice dip, towel, foot bath to sauna experience, Food and soft drinks
activity-0067	Activity	Oslo	Oslo	Oslo	Oslo		Oslo: Norway in a Nutshell Porter Service - Includes: Luggage transfer from your accommodation in Oslo to your accommodaiton in Bergen
activity-0068	Activity	Oslo	Oslo	Oslo	Oslo		Oslo: Norway in a Nutshell to Bergen - Time: - Meeting point. Oslo Central Station - Includes: Train transfer Oslo to Myrdal, Train tranfser Myrdal to Flåm, Fjord Cruise Flåm to Gudvangen, Coach Transfer Gudvangen to Voss, Train transfer Voss to Bergen
activity-0069	Activity	Oslo	Oslo	Oslo	Oslo		Oslo: Norway in a Nutshell to Flåm - Time: - Meeting point: Oslo Central Station - Includes: Train transfer Oslo to Myrdal, Train tranfser Myrdal to Flåm
activity-0070	Activity	Oslo	Oslo	Flåm	Flåm		Flåm: Norway in a Nutshell to Bergen - Time: - Meeting point: Flåm Harbor - Includes: Fjord Cruise Flåm to Gudvangen, Coach Transfer Gudvangen to Voss, Train transfer Voss to Bergen
activity-0071	Activity	Oslo	Oslo	Oslo	Oslo		Oslo: Fjord Sightseeing Cruise onboard Electric Boat - Time: 11:00 am/1:30 pm - 01:00 pm /3:30 pm - Meeting point: Platform E, behind Fisketorget by ‘’TROLLCRUISE’’ sign - Includes: Electric fjord cruise with audio guidance, Access to outdoor deck and blankets, Charging ports and free Wi-FI, Comfortable seating, Panoramic windows, Accessibility features, Onboard toilets
activity-0072	Activity	Oslo	Oslo	Oslo	Oslo		Oslo: Essential Oslo, City Center Guided 2hr Walking Tour - Time: 10:00 am - 12:00 pm - Meeting point: Det juridiske fakultet - Includes: See all the major sights and attractions in a pedestrian part of Oslo, Guide
activity-0073	Activity	Oslo	Oslo	Oslo	Oslo		Oslo: Silent Oslo Fjord Cruise - Time: 10:30 am - 12:30 pm - Meeting point: The main pier in front of the city hall (Rådhusbrygge 2) - Includes: Cruise on the Oslo Fjord, English and Norwegian speaking guides, Cafe on board, Free tap water, Free Wi-Fi, Toilets, Warm indoor saloons
activity-0074	Activity	Oslo	Oslo	Oslo	Oslo		Oslo: Panoramic Hike with Vistas of the Oslo Fjord - Time: 09:55 am - 01:55 pm - Meeting point: Christian Frederiks plass 5 - Includes: Pick-up and drop-off from central Oslo, Knowledgeable, English-speaking guide, Guided hike through the Nordmarka forests
activity-0075	Activity	Oslo	Oslo	Oslo	Oslo		Oslo: Evening Dinner Fjord Cruise with Silent Electric Ship - Time: 06:00 pm - 09:00 pm - Meeting point: Aker Brygge Pier - Includes: Oslo fjord cruise by silent, electric ship, English and Norwegian speaking hosts, Set 3-course dinner menu by pro chef, Bar with all rights onboard, Free tap water and free WiFi
activity-0076	Activity	Oslo	Oslo	Oslo	Oslo		Oslo: Fjord Sightseeing Cruise onboard Electric Boat - Time: 11:00 am/1:30 pm - 01:00 pm /3:30 pm - Meeting point: Platform E, behind Fisketorget by ‘’TROLLCRUISE’’ sign - Includes: Electric fjord cruise with audio guidance, Access to outdoor deck and blankets, Charging ports and free Wi-FI, Comfortable seating, Panoramic windows, Accessibility features, Onboard toilets
activity-0077	Activity	Bergen	Bergen	Bergen	Bergen		Bergen: Norway in a Nutshell to Oslo - Time: - Meeting point: Bergen Train Station - Includes: Train transfer Bergen to Voss, Coach transfer Voss to Gudvangen, Fjord Cruise Gudvangen to Flåm, Train transfer Flåm to Myrdal, Train Transfer Myrdal to Oslo
activity-0078	Activity	Bergen	Bergen	Bergen	Bergen		Bergen: Norway in a Nutshell to Flåm - Time: - Meeting point: Bergen Train Station - Includes: Train transfer Bergen to Voss, Coach transfer Voss to Gudvangen, Fjord Cruise Gudvangen to Flåm
activity-0079	Activity	Bergen	Bergen	Flåm	Flåm		Flåm: Norway in a Nutshell to Oslo - Time: - Meeting point: Flåm Train Station - Includes: Train transfer Flåm to Myrdal, Train Transfer Myrdal to Oslo
activity-0080	Activity	Bergen	Bergen	Bergen	Bergen		Bergen: Historic Sightseeing Cruise of Bergen City & Wharf - Time: 09:30 am - 10:30 am - Meeting point: Strandkaien 11 - Includes: Sightseeing cruise from central Bergen, Knowledgeable and professional guides
activity-0081	Activity	Bergen	Bergen	Bergen	Bergen		Bergen: 2 hr walk Through Bergen Past & Present - Time: 10:00 am - 12:00 pm - Meeting point: Bradbenken 1 - Includes: Profesional Guide
activity-0082	Activity	Bergen	Bergen	Bergen	Bergen		Bergen: Fløibanen Funicual - Time: Flexible - Meeting point: Vetrlidsallmenningen 23A - Includes: Tickets
activity-0083	Activity	Bergen	Bergen	Bergen	Bergen		Bergen: Mostraumen Majestic Fjord & Waterfall Cruise - Time: 12:00 pm - 4:00 pm - Meeting point: Strandkaien 13 - Includes: 4-hour panoramic fjord cruise, Expert captain navigating through the fjords, English-audio guide
activity-0084	Activity	Tromsø	Tromsø	Tromsø	Tromsø		Tromsø: Northern Lights Cruise with Silent Electric Ship - Time: 7:00 pm - 10:00 pm - Meeting point: Kaigata 6 - Includes: Departure from central Tromsø, 3-hour fjord cruise, Light meal (soup and bread) and water, English speaking guides, Warm indoor saloons, Free wifi, Toilets
activity-0085	Activity	Tromsø	Tromsø	Tromsø	Tromsø		Tromsø: All-Evening Northern Lights Hunt by Minibus or Bus - Time: 7:00 pm - 12:00 am - Meeting point: Kaigata 4 - Includes: Knowledgeable, English-speaking guides, Photos shared with you after the tour, Thermo clothing and warm gear, Light snacks and warm/cold beverages, Drop-off at hotel, up to 5 km from Tromsø
